Product URL,Demand,Supply,Currency,Price,Our Price,Comp 1 Price,Comp 2 Price,Comp 3 Price,Comp 4 Price,Median,Δ% vs Median,Our Rank,Total Comp,Comments / Flags
https://shop.moomin.co.jp/en/products/9784299061508,HK,JPN,JPY,"$3,289","$3,422","$7,778","$5,443",,,"$5,443",-37%,1,3,
https://www.suqqu.com/en/categories/baseMakeup/primer/p/4973167536582,HK,JPN,JPY,"$11,000","$11,446","$11,800","$14,981",,,"$11,800",-3%,1,3,
https://item.rakuten.co.jp/caramelcafe/cot64840/,HK,JPN,JPY,"$4,500","$4,682","$5,300","$6,759",,,"$5,300",-12%,1,3,
https://www.kao-kirei.com/ja/item/kbb/kate/4973167015070/?tw=kbb,HK,JPN,JPY,"$1,650","$1,717","$2,058","$3,167",,,"$2,058",-17%,1,3,
https://tokyoondemand.com/products/dr-ci-labo-aqua-collagen-gel-enrich-lift-ex-120g,HK,JPN,JPY,"$8,900","$9,260","$8,198","$9,824",,,"$9,260",0%,2,3,
https://ebisujapan.com/products/%E7%AC%AC2%E9%A1%9E%E9%86%AB%E8%97%A5%E5%93%81-%E5%A4%AA%E7%94%B0%E8%83%83%E6%95%A3-%E5%88%86%E5%8C%85-48%E5%8C%85,MY,JPN,JPY,"$1,380","$1,436","$1,960","$1,660",N/A,,"$1,660",-14%,1,3,
https://japanwithlovestore.com/en-hk/products/agetuya-pro-titanium-220-c-hair-straightener-japan-compatible-model-aquamint,MY,JPN,JPY,"$5,556","$5,781","$5,178","$4,878","$7,507",,"$5,479",5%,3,4,
https://ebisujapan.com/products/%E7%AC%AC2%E9%A1%9E%E9%86%AB%E8%97%A5%E5%93%81-%E5%A4%AA%E7%94%B0%E8%83%83%E6%95%A3-%E5%88%86%E5%8C%85-48%E5%8C%85,PH,JPN,JPY,"$1,380","$1,436","$1,960","$1,660",,,"$1,660",-14%,1,3,
https://japanwithlovestore.com/en-hk/products/agetuya-pro-titanium-220-c-hair-straightener-japan-compatible-model-aquamint,PH,JPN,JPY,"$5,556","$5,781","$5,178","$4,878",,,"$5,178",12%,3,3,
https://ebisujapan.com/products/%E7%AC%AC2%E9%A1%9E%E9%86%AB%E8%97%A5%E5%93%81-%E5%A4%AA%E7%94%B0%E8%83%83%E6%95%A3-%E5%88%86%E5%8C%85-48%E5%8C%85,SG,JPN,JPY,"$1,380","$1,436","$1,960","$1,660",,,"$1,660",-14%,1,3,
